,RegionName,NAME,CS,Latitude,Longitude
293364,17060,"Chillicothe, OH","[0.4358005582564359 0.4358005582564359 0.4358005582564359
 0.4358005582564359 0.4358005582564359 -0.5287993163290821
 -0.9410941495082064 1.5832692062538836 -0.3751401270798307
 0.2755849819649401]",39.466041,-82.7457
297801,17340,"Clearlake, CA","[0.5396968916858245 0.5396968916858245 0.5396968916858245
 0.5396968916858245 0.5396968916858245 -0.2046681739280356
 -1.1811892609365233 -0.47231762134180966 -1.6363108669745474
 1.455954179215078]",38.956206,-122.63523
301977,17420,"Cleveland, TN","[-2.626536426633509 -2.626536426633509 -2.626536426633509
 -2.626536426633509 -2.626536426633509 -0.7268794589074987
 0.19268832112551493 1.347144795904137 -0.9722912542309666
 0.0047288293676374105]",35.172376,-84.63913000000002
306414,17660,"Coeur d'Alene, ID","[0.08362562493104461 0.08362562493104461 0.08362562493104461
 0.08362562493104461 0.08362562493104461 1.1098636813651015
 -0.22080881522325368 0.760749278795079 0.1327234291930212
 1.4334800912967651]",47.943718,-116.66605
310329,17820,"Colorado Springs, CO","[-0.1454079149581796 -0.1454079149581796 -0.1454079149581796
 -0.1454079149581796 -0.1454079149581796 1.3979802523882534
 1.6999520762032858 1.1037950297288222 1.2277596758134852
 2.1817394302747317]",39.148692,-104.5635
324162,17860,"Columbia, MO","[0.5140900975924136 0.5140900975924136 0.5140900975924136
 0.5140900975924136 0.5140900975924136 1.3439583953214127
 0.9796667419183336 1.7482566775995751 -0.34650071755283396
 2.033920424655829]",38.784123,-92.24395
329121,17900,"Columbia, SC","[0.014719970087903506 0.014719970087903506 0.014719970087903506
 0.014719970087903506 0.014719970087903506 0.5516378250077413
 0.9263122727120405 1.0206504010656547 0.3780374664536766
 1.1396105157160483]",34.126535,-81.234811
347130,18140,"Columbus, OH","[0.3093033881866777 0.3093033881866777 0.3093033881866777
 0.3093033881866777 0.3093033881866777 0.6776888248303712
 1.0063439765214799 1.5097246333943406 1.0176941425860566
 1.1834772509835627]",40.091576,-82.61225
386019,18180,"Concord, NH","[0.42642063768073446 0.42642063768073446 0.42642063768073446
 0.42642063768073446 0.42642063768073446 1.0558418242982583
 1.3264707917592364 1.8646103468577893 1.6712169581726837
 1.6884381402376056]",43.14174600000001,-71.2488
395937,18260,"Cookeville, TN","[0.05395537073787535 0.05395537073787535 0.05395537073787535
 0.05395537073787535 0.05395537073787535 -0.9789814585527585
 0.8862964208073213 0.5505178563835309 -1.818514531205124
 0.9734101583812869]",36.377253,-85.90866
402201,18300,"Coos Bay, OR","[0.40944306729536784 0.40944306729536784 0.40944306729536784
 0.40944306729536784 0.40944306729536784 0.35355768242932467
 0.45946066715697875 0.5389780497121754 -1.4034374781962073
 -0.9651023075262126]",43.246918,-124.231068
404811,18500,"Corning, NY","[-1.2158541613371239 -1.2158541613371239 -1.2158541613371239
 -1.2158541613371239 -1.2158541613371239 0.4435941108740599
 1.4865341993781147 1.9149317211926 0.07764764164110434 1.2427514204237418]",42.605481,-77.20116999999998
414990,18700,"Corvallis, OR","[-0.018440210025768008 -0.018440210025768008 -0.018440210025768008
 -0.018440210025768008 -0.018440210025768008 1.3439583953214127
 3.020475189059032 1.3863081921998148 0.6851659758608364
 1.0681524462535303]",44.635395,-123.0896
417861,18880,"Crestview-Fort Walton Beach-Destin, FL","[0.47976027915311514 0.47976027915311514 0.47976027915311514
 0.47976027915311514 0.47976027915311514 0.929790824475631
 2.060094743345762 1.0568180680737258 0.8995079820040609 1.645870094473177]",30.8752,-86.68607
422037,19140,"Dalton, GA","[0.48054915429069545 0.48054915429069545 0.48054915429069545
 0.48054915429069545 0.48054915429069545 -3.301921312426927
 0.9796667419183336 -1.0168422336038785 -1.6830928888715873
 0.8772744356585385]",34.688716,-84.46715999999998
426213,19260,"Danville, VA","[0.5934134613943375 0.5934134613943375 0.5934134613943375
 0.5934134613943375 0.5934134613943375 -1.014996029930653
 1.3264707917592364 1.0537700930885123 -1.0075397582641934
 0.07725494469483352]",36.677075,-79.70604
431433,19380,"Dayton, OH","[0.5048363568038494 0.5048363568038494 0.5048363568038494
 0.5048363568038494 0.5048363568038494 0.4075795394961653
 0.35275172874439364 1.5760928491239345 0.7557925740156474
 -2.624983458509388]",39.721965,-83.58093000000002
454401,19500,"Decatur, IL","[0.3882486805450169 0.3882486805450169 0.3882486805450169
 0.3882486805450169 0.3882486805450169 0.49761596794090057
 -1.2212051128412438 1.6323577422978415 -0.48697637333231125
 1.5811658529439598]",40.027071,-88.96715
460665,20100,"Dover, DE","[0.20292126553209971 0.20292126553209971 0.20292126553209971
 0.20292126553209971 0.20292126553209971 -0.16865360255014097
 1.4865341993781147 2.247459955308609 0.9133741214583082 0.594943972181259]",39.16426,-75.51163000000003
466407,20700,"East Stroudsburg, PA","[0.4015279448861298 0.4015279448861298 0.4015279448861298
 0.4015279448861298 0.4015279448861298 0.5336305393187952
 -0.5542742477625835 1.486672215310971 1.3389479716241786
 1.3846942122914725]",40.912421,-75.49765
475803,20740,"Eau Claire, WI","[-0.4209432189113057 -0.4209432189113057 -0.4209432189113057
 -0.4209432189113057 -0.4209432189113057 0.9477981101645769
 1.3798252609655293 2.280367513896941 0.3687069800919401
 1.3306583759307582]",45.186932,-90.81846
482328,20940,"El Centro, CA","[0.5793591845987748 0.5793591845987748 0.5793591845987748
 0.5793591845987748 0.5793591845987748 -3.9501835972290227
 0.43278343255383245 -0.47811177673938543 -0.7316424601511794
 -0.0733414604799838]",32.782242,-114.561905
486504,21020,"Elizabeth City, NC","[0.35608432852710464 0.35608432852710464 0.35608432852710464
 0.35608432852710464 0.35608432852710464 -0.5648138877069767
 0.5394923709664181 0.40563519594424113 -0.008659357204958263
 0.23230019087825826]",36.285388,-76.213284
489636,21300,"Elmira, NY","[-0.6181428630070377 -0.6181428630070377 -0.6181428630070377
 -0.6181428630070377 -0.6181428630070377 0.38957225380721927
 0.4194448152522595 2.1331248897269184 0.016610710024744752
 0.8564897723938052]",42.366682,-76.72561999999998
495378,21340,"El Paso, TX","[0.0370992872167232 0.0370992872167232 0.0370992872167232
 0.0370992872167232 0.0370992872167232 -2.0234040285116874
 1.6732748416001395 -1.7859193956123445 -0.712851897339349
 -0.7644760128661983]",31.977553000000004,-106.60469
503991,21500,"Erie, PA","[-1.2983304072141062 -1.2983304072141062 -1.2983304072141062
 -1.2983304072141062 -1.2983304072141062 0.7857325389640525
 0.9529895073151873 2.3864529046619523 0.0929392720672836
 0.37604917757167755]",41.883648,-80.37687
512343,22140,"Farmington, NM","[0.1932960458818225 0.1932960458818225 0.1932960458818225
 0.1932960458818225 0.1932960458818225 -0.4387628878843468
 0.49947651906169843 -1.4081822439536866 0.06987223633965726
 1.273842487616181]",36.17798,-107.80037
516519,22180,"Fayetteville, NC","[-0.24765396831565228 -0.24765396831565228 -0.24765396831565228
 -0.24765396831565228 -0.24765396831565228 0.4075795394961653
 0.6862171612837233 0.7359934417103716 -0.13254748167468178
 0.43605670674531827]",35.042389,-78.84124
524349,22300,"Findlay, OH","[0.45861558921361845 0.45861558921361845 0.45861558921361845
 0.45861558921361845 0.45861558921361845 1.073849109987207
 -0.8877396803019133 1.7221485513165207 0.2722919543539963
 1.8002642398581084]",40.954293,-83.38068
530874,22380,"Flagstaff, AZ","[0.3144072364956366 0.3144072364956366 0.3144072364956366
 0.3144072364956366 0.3144072364956366 0.13747025416195946
 1.2464390879497973 -0.9713121441006554 -0.026672379486644002
 1.192037288503914]",34.563994,-110.55929
537399,22500,"Florence, SC","[-0.984104088031144 -0.984104088031144 -0.984104088031144
 -0.984104088031144 -0.984104088031144 -0.7448867445964473
 1.1130529149340656 0.6656059426116422 -0.9956174701353079
 -0.38890041324405034]",34.183978,-80.07629
543141,22540,"Fond du Lac, WI","[0.28654025743970174 0.28654025743970174 0.28654025743970174
 0.28654025743970174 0.28654025743970174 0.7137033962082657
 1.099714297632492 2.076787291891293 0.9355340265674323 1.560056312566311]",43.62399600000001,-88.51089
549666,23060,"Fort Wayne, IN","[0.407753185917176 0.407753185917176 0.407753185917176 0.407753185917176
 0.407753185917176 0.5336305393187952 0.2327041730302346
 0.8645505613540287 0.44775693398998545 1.6667803350784864]",41.213756,-85.70397
564021,23180,"Frankfort, KY","[0.3245552579532126 0.3245552579532126 0.3245552579532126
 0.3245552579532126 0.3245552579532126 0.38957225380721927
 1.4598569647749684 2.0836472161098536 0.42533784870414637
 1.2957088312517882]",38.279797,-85.03498
566892,23420,"Fresno, CA","[0.4876214263537743 0.4876214263537743 0.4876214263537743
 0.4876214263537743 0.4876214263537743 -2.581629884869045
 0.6328626920774303 -0.3391687806755159 -0.5467174040650963
 0.05460460962056557]",36.194736,-120.30865
582813,23460,"Gadsden, AL","[-0.08474779818196043 -0.08474779818196043 -0.08474779818196043
 -0.08474779818196043 -0.08474779818196043 -1.1410470297532804
 0.43278343255383245 0.4861448711363119 -1.5008892246410106
 0.47943358727672314]",33.944897,-86.45813000000003
586989,23540,"Gainesville, FL","[0.4607781895695266 0.4607781895695266 0.4607781895695266
 0.4607781895695266 0.4607781895695266 0.8037398246530011
 -1.1945278782380968 0.3069657135634122 -0.5986830294964343
 1.5297457640095529]",29.928691,-82.91032
594036,23580,"Gainesville, GA","[0.3798719543768768 0.3798719543768768 0.3798719543768768
 0.3798719543768768 0.3798719543768768 -1.8973530286890574
 1.8733541011237373 -0.5103558285665923 0.5042582125138342
 0.27657902680058233]",34.306643,-83.82352
599778,23660,"Galesburg, IL","[0.42115269356020296 0.42115269356020296 0.42115269356020296
 0.42115269356020296 0.42115269356020296 0.37156496811827067
 0.9529895073151873 1.8551111987447544 -0.7011887893871783
 1.4911975021546917]",40.948073,-90.36871
608652,23700,"Gallup, NM","[0.19816950930613467 0.19816950930613467 0.19816950930613467
 0.19816950930613467 0.19816950930613467 -2.2394914567790525
 1.5132114339812612 -3.062899919315096 -2.0928567482578484
 -0.7931619018957641]",35.122129,-107.90777
614394,23900,"Gettysburg, PA","[0.4221617274972878 0.4221617274972878 0.4221617274972878
 0.4221617274972878 0.4221617274972878 -0.33071917375066295
 2.767041460329141 2.0383292058731173 1.851865541342971 2.3511758983452884]",40.093968,-77.02628
620136,24020,"Glens Falls, NY","[0.11879745123915467 0.11879745123915467 0.11879745123915467
 0.11879745123915467 0.11879745123915467 0.5696451106966899
 1.3264707917592364 1.8762682980411478 0.9747998233397401
 1.7092970431709222]",42.932315,-73.44521
633447,24140,"Goldsboro, NC","[0.31973314833170713 0.31973314833170713 0.31973314833170713
 0.31973314833170713 0.31973314833170713 -0.8349231730411826
 -0.0073909383980830246 0.38637064728268466 -1.0290517129315302
 -0.1736103396189852]",35.4152,-78.42116
637362,24260,"Grand Island, NE","[-2.871890788926334 -2.871890788926334 -2.871890788926334
 -2.871890788926334 -2.871890788926334 -0.33071917375066295
 2.5803008181071165 0.708140022704929 0.22576911263367125
 1.7091597656919963]",41.212516,-97.83118
644148,24300,"Grand Junction, CO","[0.1853788155023993 0.1853788155023993 0.1853788155023993
 0.1853788155023993 0.1853788155023993 0.6776888248303712
 1.6199203723938467 0.9924159625080322 0.005984322779433741
 1.4849366144684324]",39.072831,-108.55
649368,24420,"Grants Pass, OR","[0.4711870530184859 0.4711870530184859 0.4711870530184859
 0.4711870530184859 0.4711870530184859 0.26352125398458937
 -0.16745434601696108 0.8349658156591272 -1.4793772699736738
 -0.7070496744488495]",42.676455,-123.324
652761,24540,"Greeley, CO","[-0.19055215049885435 -0.19055215049885435 -0.19055215049885435
 -0.19055215049885435 -0.19055215049885435 -0.34872645943961156
 2.1401264471552013 0.28426466063654665 1.2325545090827108
 1.8102746489986736]",40.160138,-105.01772
665028,24620,"Greeneville, TN","[-1.0019491638465234 -1.0019491638465234 -1.0019491638465234
 -1.0019491638465234 -1.0019491638465234 -1.303112600953805
 1.086375680330919 0.9474798379672067 -1.465640720607784
 -0.46356251827365513]",36.218863,-82.74704
667899,25220,"Hammond, LA","[0.6487929133523057 0.6487929133523057 0.6487929133523057
 0.6487929133523057 0.6487929133523057 -0.8889450301080232
 0.11265661731607601 -0.15102982805983634 -1.4179515680922419
 -0.2608577523144604]",30.517866,-90.47254
672858,25500,"Harrisonburg, VA","[0.21147729701398446 0.21147729701398446 0.21147729701398446
 0.21147729701398446 0.21147729701398446 -0.8349231730411826
 1.1664073841403582 1.53048844974392 -0.11336814859777897
 2.257463357882762]",38.426786,-78.88153
679644,25620,"Hattiesburg, MS","[-0.060096983086194176 -0.060096983086194176 -0.060096983086194176
 -0.060096983086194176 -0.060096983086194176 0.01141925433932957
 0.6862171612837233 0.2035766339943511 -1.1703049092411524
 0.21846607807714968]",31.285508,-89.2799
683820,25900,"Hilo, HI","[0.4427613773791135 0.4427613773791135 0.4427613773791135
 0.4427613773791135 0.4427613773791135 0.5336305393187952
 2.006740274139469 2.0534381673718833 0.5752735809337176 0.274851957013703]",19.307543,-155.88338000000005
691650,26300,"Hot Springs, AR","[0.13105638909135503 0.13105638909135503 0.13105638909135503
 0.13105638909135503 0.13105638909135503 0.461601396563006
 1.4731955820765417 0.4215941848678595 -0.6418365289194656
 1.5057488877533567]",34.506487,-93.01941
694782,26820,"Idaho Falls, ID","[0.4871491182776322 0.4871491182776322 0.4871491182776322
 0.4871491182776322 0.4871491182776322 0.6776888248303712
 2.4735918796945313 0.9180966490932898 0.43466833506588287
 0.995241952156324]",43.366017,-112.11712
699480,26860,"Indiana, PA","[-1.061714711917873 -1.061714711917873 -1.061714711917873
 -1.061714711917873 -1.061714711917873 0.10145568278406485
 2.446914645091385 1.2616796972628275 -0.18697531878481133
 1.854798550746073]",40.528929,-79.48116
712791,26980,"Iowa City, IA","[-2.6366157026713415 -2.6366157026713415 -2.6366157026713415
 -2.6366157026713415 -2.6366157026713415 1.2359146811877288
 2.900427633344873 2.320137239481056 0.8969161802369119 2.345611155920856]",41.320371,-91.54755
722187,27060,"Ithaca, NY","[-2.0568181590368835 -2.0568181590368835 -2.0568181590368835
 -2.0568181590368835 -2.0568181590368835 1.1999001098098367
 0.8729578035057479 2.669637636797919 0.5292690995668223 1.944557819984428]",42.591109,-76.19216999999998
727668,27100,"Jackson, MI","[0.54875386907597 0.54875386907597 0.54875386907597 0.54875386907597
 0.54875386907597 0.22750668260669477 -0.0073909383980830246
 1.5160749944238936 -0.4137579734103512 -0.04753261770673478]",42.316922,-84.03445
735237,27140,"Jackson, MS","[-0.02422117930911744 -0.02422117930911744 -0.02422117930911744
 -0.02422117930911744 -0.02422117930911744 0.11946296847301344
 0.8729578035057479 0.637501670490055 -0.42010788773986635
 0.7904181118114345]",32.393359999999994,-90.47024
750897,27180,"Jackson, TN","[0.3740297758668555 0.3740297758668555 0.3740297758668555
 0.3740297758668555 0.3740297758668555 -0.22267545961698165
 0.9663281246167602 0.6873898634851576 -0.4633909772512551
 0.3481773385075041]",35.696656,-89.08457
757422,27260,"Jacksonville, FL","[0.44269312155193136 0.44269312155193136 0.44269312155193136
 0.44269312155193136 0.44269312155193136 0.35355768242932467
 -0.35419498823898565 0.6638359318033882 0.29445185946312047
 1.0339404106167607]",,
776736,27340,"Jacksonville, NC","[-0.06744741945835094 -0.06744741945835094 -0.06744741945835094
 -0.06744741945835094 -0.06744741945835094 1.091856395676153
 1.5932431377907004 0.7872444670096493 -0.2068026023035014
 1.7714872411442633]",34.47722,-77.55978
781173,27500,"Janesville, WI","[0.2732714131573489 0.2732714131573489 0.2732714131573489
 0.2732714131573489 0.2732714131573489 -0.06060988841645712
 2.073433360647335 2.0617058183700685 0.018554561350106524
 -0.10428024714009032]",42.60027,-88.74978
787176,27740,"Johnson City, TN","[-0.25155415503402245 -0.25155415503402245 -0.25155415503402245
 -0.25155415503402245 -0.25155415503402245 -0.7628940302853933
 1.4331797301718219 0.8447305294679173 -0.8693967240751502
 0.5594653437811664]",36.331006,-82.3386
793440,27780,"Johnstown, PA","[0.30600368858040006 0.30600368858040006 0.30600368858040006
 0.30600368858040006 0.30600368858040006 0.5696451106966899
 1.9533858049331765 2.417707144425091 -0.7615777705617507
 0.9334938484187546]",40.662676,-78.7936
808056,27860,"Jonesboro, AR","[-1.8062140522543433 -1.8062140522543433 -1.8062140522543433
 -1.8062140522543433 -1.8062140522543433 -0.024595317038565052
 2.8470731641385805 0.35053756631755817 -0.5565662507802627
 0.593675185640768]",35.387053,-90.76307
814842,27900,"Joplin, MO","[0.4945005539498765 0.4945005539498765 0.4945005539498765
 0.4945005539498765 0.4945005539498765 -0.18666088823908702
 2.0200788914410426 -0.045606971786092965 -0.987064524303716
 0.671726977818109]",37.371365,-94.09057
823194,28300,"Keene, NH","[0.36227673694057855 0.36227673694057855 0.36227673694057855
 0.36227673694057855 0.36227673694057855 1.1098636813651015
 1.4998728166796877 1.6642241172658858 1.3467233769256255
 2.125868294164034]",43.173046,-72.09755
830502,28580,"Key West, FL","[0.5590931817648959 0.5590931817648959 0.5590931817648959
 0.5590931817648959 0.5590931817648959 0.7317106818972118
 0.9529895073151873 -1.404884755804757 1.0096595571078946
 2.5436202366791383]",24.841814000000007,-80.79405
833634,28740,"Kingston, NY","[0.3132339387507744 0.3132339387507744 0.3132339387507744
 0.3132339387507744 0.3132339387507744 0.5516378250077413
 0.2993972595381006 1.4947368519395772 1.518819014264321
 1.3241067579713632]",41.932315,-74.02259000000002
850077,28900,"Klamath Falls, OR","[0.36126222490665616 0.36126222490665616 0.36126222490665616
 0.36126222490665616 0.36126222490665616 0.4255868251851113
 1.4998728166796877 0.5864668166754612 -0.8888352373287679
 -1.0344483821839985]",42.282428,-121.88447
854775,28940,"Knoxville, TN","[-1.3279417728967822 -1.3279417728967822 -1.3279417728967822
 -1.3279417728967822 -1.3279417728967822 0.299535825362484
 1.086375680330919 1.541713657447783 -0.1399341167110565
 1.1207418355284204]",35.784708,-83.97955999999998
871218,29180,"Lafayette, LA","[0.03885891049885632 0.03885891049885632 0.03885891049885632
 0.03885891049885632 0.03885891049885632 -0.5468066020180281
 1.1263915322356386 0.6410397496251721 0.12533679415664645
 1.4480145347711586]",29.931838,-91.19813
878004,29340,"Lake Charles, LA","[-3.301495907289756 -3.301495907289756 -3.301495907289756
 -3.301495907289756 -3.301495907289756 -0.1506463168611924
 0.45946066715697875 0.13932560088983204 -0.09639184702295284
 1.1922809553753348]",30.005408000000006,-92.54417
883746,29380,"Lake City, FL","[0.5760845655360236 0.5760845655360236 0.5760845655360236
 0.5760845655360236 0.5760845655360236 -0.47477745926224146
 -2.448357904585977 0.29079799867470857 -1.2056830033627366
 0.0991223130227431]",30.108128000000004,-82.72529
886356,29540,"Lancaster, PA","[0.1103263587006168 0.1103263587006168 0.1103263587006168
 0.1103263587006168 0.1103263587006168 -0.49278474495118746
 1.6199203723938467 1.0523994175806914 -0.5858536107490466
 2.1314202523463663]",40.160793,-76.60763
904365,29700,"Laredo, TX","[-1.9137280196393243 -1.9137280196393243 -1.9137280196393243
 -1.9137280196393243 -1.9137280196393243 -4.220292882563228
 2.366882941281945 -3.0344860947696715 -1.1950566161174254
 -2.5403229927871296]",27.514845,-99.49991
907236,29740,"Las Cruces, NM","[0.2996160361518106 0.2996160361518106 0.2996160361518106
 0.2996160361518106 0.2996160361518106 -1.3931490293985402
 0.5928468401727107 -0.3650189781637221 -1.0729827528847062
 0.2909271779892797]",32.760034000000005,-107.27535
914805,29940,"Lawrence, KS","[0.19964142916287217 0.19964142916287217 0.19964142916287217
 0.19964142916287217 0.19964142916287217 1.3799729666993072
 2.566962200805543 1.1460896721172147 0.562184982009615 2.4573515493668197]",38.789719,-95.21058
918198,30020,"Lawton, OK","[-0.11042176762498196 -0.11042176762498196 -0.11042176762498196
 -0.11042176762498196 -0.11042176762498196 0.461601396563006
 0.16601108652236862 0.2097601312862185 -0.12593838716845174
 0.7353041487473109]",34.894964,-98.38697
922113,30620,"Lima, OH","[0.4764811330968309 0.4764811330968309 0.4764811330968309
 0.4764811330968309 0.4764811330968309 0.6956961105193172
 1.4065024955686756 1.3878355065964 -0.5334992150526363 0.6794144339763142]",40.759451,-84.08458
927594,30700,"Lincoln, NE","[-4.091964849617551 -4.091964849617551 -4.091964849617551
 -4.091964849617551 -4.091964849617551 1.217907395498783
 1.2464390879497973 1.6889308441112951 0.6249065847746215
 2.084625069245358]",41.068476,-96.38189
